row,W,AA,AE,BZ,CA,O,a_not,h_not,a_over_h_not,implied_hedge,h_over_a_px
228,47.25,11081.07,238.74635044597775,-23581.152622073958,98.77073546056057,1.0,1114209.4613929945,1094485.433589954,1.0180212794046468,238.74635044597775,234.51999999999998
293,46.4,11167.36,238.67498534154203,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1136635.676787073,0.9893412747995124,238.11056419278194,240.67586206896553
294,46.35,11154.97,238.67474361566826,24235.357531360547,-101.781949967322,1.0,1123308.8215785613,1135374.5984269779,0.9893728670122326,238.11056419278194,240.66817691477883
295,46.4,11163.54,238.6742015171215,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1136246.869738198,0.9896798129038891,238.11056419278194,240.59353448275866
296,46.35,11164.41,238.67126626881293,24235.357531360547,-101.781949967322,1.0,1123308.8215785613,1136335.4200346696,0.9885363087109343,238.11056419278194,240.87184466019417
297,46.4,11175.36,238.66941425532926,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1137449.9323868118,0.9886330443533882,238.11056419278194,240.848275862069
298,46.4,11189.65,238.66570991767304,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1138904.3964518446,0.9873704877762113,238.11056419278194,241.15625
299,46.4,11184.66,238.66319082231607,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1138396.5045215078,0.9878109999360805,238.11056419278194,241.04870689655172
300,46.45,11184.75,238.6599022225894,24235.357531360547,-101.781949967322,1.0,1125732.3573316974,1138405.6648970048,0.988867494289521,238.11056419278194,240.79117330462861
301,46.4,11233.77,238.65259609253255,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1143395.016084403,0.9834926457053226,238.11056419278194,242.10711206896553
302,46.35,11239.14,238.64507765700284,24235.357531360547,-101.781949967322,1.0,1123308.8215785613,1143941.5851557273,0.9819634465213036,238.11056419278194,242.484142394822
303,46.4,11239.07,238.63808999643393,24235.357531360547,-101.781949967322,1.0,1124520.5894551293,1143934.4604192297,0.9830288607994329,238.11056419278194,242.22133620689655
304,46.3,11229.04,238.62911799652855,24235.357531360547,-101.781949967322,1.0,1122097.0537019933,1142913.5874610576,0.9817864325112212,238.11056419278194,242.52786177105835
